question	sparql
what is the major language spoken in greece?	
what state is barack obama senator for?	
what kinda music does john mayer sing?	
what boudicca do?	
what language do brazil speak?	
where did sir john a macdonald die?	
what kind of money in aruba?	
where did martin luther king jr get shot?	
what is south korea's capital city?	
who was darth vader in episode 3?	
what is the currency in the republic of congo?	
what does obama have a degree in?	
who is the political leader of japan?	
what country did giovanni da verrazano represent?	
when was saint nicholas died?	
what countries does germany share borders with?	
what city is the jacksonville jaguars from?	
where is the time zone in florida?	
what county is clearwater fl in?	
what type of political system is spain?	
what is thomas edison's most famous for?	
what does jennifer lopez do?	
what country was dmitri mendeleev born?	
what is the capital city of west germany?	
what money system does australia use?	
where does president barack obama live?	
what did whitney houston die of?	
what movies has selena gomez starred in?	
what highschool did khloe kardashian go to?	
who is the 2011 heisman trophy winner?	
what contribution did hooke made to science in 1665?	
what did eli whitney invented?	
what movies has angelina jolie in?	
who owns the chrysler corporation?	
where was george washington originally from?	
what country christopher columbus from?	
who was michael j fox?	
what movies did jenna dewan play in?	
what is the bosnian language?	
what is father name of salman khan?	
where is shawn johnson gymnast from?	
what kind of money does the ivory coast use?	
where is roger federer from sui?	
what money should i bring to dominican?	
what is michael buble's style of music?	
where did the florida marlins?	
what movies did taylor lautner star in?	
what do egyptians speak?	
what language did the egyptians?	
what is the zip code for inglewood california?	
where did the founder of google go to college?	
what made roald dahl famous?	
what school did martin luther king jr attend?	
who did lenny kravitz marry?	
what is the second official language of canada?	
what country did ponce de leon live in?	
what is the language called in russia?	
what does the name austin stand for?	
who does hank baskett play for now?	
who was the president of the us in 1971?	
what team did ronaldo play for?	
what to do today in birmingham uk?	
what show does tamera mowry play on?	
what language do the people speak in australia?	
what college is in greeley colorado?	
what countries does the niger river flow through?	
where is pyramids located in egypt?	
what games did bungie make?	
who does cristiano ronaldo play for 2012?	
what team did kobe bryant play for first?	
what kind of government does vietnam have?	
what language do the speak in switzerland?	
what style of art did van gogh produce?	
what movies did angelina jolie star in?	
where was ancient carthage located?	
what type of paintings did marc chagall do?	
what does chilean people speak?	
what were frederick douglass achievements?	
who plays kenneth on 30 rock?	
when do they have the olympics?	
what is zip code for davenport iowa?	
who is the current coach of the new york knicks?	
what was the name of william shakespeare's children?	
what organization did dr. carter g. woodson found?	
who owns the steelers football team?	
what currency does jamaica accept?	
when countries joined the european union?	
what inventions did leonardo da vinci made?	
which team does ronaldinho play for?	
where is eric cantor from?	
what is the currency of sweden called?	
where did tim mcgraw grew up?	
when did ny giants win the superbowl?	
when did kerry run for president?	
what's sweden's currency?	
what currency does greece use?	
who does sonny bill williams play for 2012?	
who are senators from utah?	
what type of government did egypt have?	
where was the assyrian civilization located?	
who are the current senators from illinois?	
what do do in nashville tn?	
what inventions did robert hooke made?	
what team does derrick rose play for?	
what type of government does the former soviet union have?	
what illness did huell howser died of?	
what car models does gm make?	
which legend of zelda game is the first?	
what nationality is zack de la rocha?	
what years have the steelers won the super bowl?	
what did doc holliday die from?	
what countries does britain own?	
what government does france have?	
who played dorothy in the film wizard of oz?	
who was the owner of kfc?	
where did robin gibb die?	
what countries are on the mediterranean sea?	
what languages do they speak in russia?	
who plays jim halpert?	
when were the phillies founded?	
who is john cabot's parents?	
what is the capital city of montana usa?	
who succeeded william mckinley as president?	
what is the zip code for wildwood?	
what money currency does canada use?	
where did bronx tale take place?	
what kind of money do they use in russia?	
who plays edward elric?	
what kind of money does germany?	
what cities are included in maricopa county?	
what time is the grand prix starting?	
what are the places to see in dubai?	
where is johnny depp from?	
what characters does todd haberkorn voice?	
where the latin language come from?	
what language do pakistani people talk?	
what does china border?	
what was alice walker famous for?	
where did michael jackson went to school?	
where is the time zone in kentucky?	
what albums did john frusciante play on?	
what influenced whitman's poetry?	
what did martin luther king jr do in his life?	
what kind of legal system does australia have?	
where did jimmy hoffa live?	
where people speak welsh?	
what children's books did suzanne collins wrote?	
what state obama was born?	
what is the zip code for morgantown in?	
who plays bella on twilight?	
who does cristiano ronaldo play for in 2010?	
where did elvis presley live before he died?	
what to do in daytona?	
who does paul walker play in fast and furious?	
who was the vice president during george w bush?	
where did kevin hart go to school?	
what kind of money do japanese use?	
where does the name melbourne come from?	
what currency do the ukraine use?	
what kind of money does chile use?	
what currency do italy have?	
what language does people from denmark speak?	
what did susan atkins die of?	
what type of currency does brazil use?	
what country did marco polo come from?	
what were hitler's parents names?	
what currency do i bring to cuba?	
where did patrick henry live?	
what kind of government does mongolia?	
where did jesse james die?	
where is spain located what continent?	
what form of government is the philippines?	
who plays stewie griffin on family guy?	
what kind of government do the canadians have?	
what happened to sir thomas cromwell?	
who plays stewie griffin's voice?	
what are the mountains in peru called?	
what is south america made up of?	
what team does plaxico burress play for?	
where english is spoken in the world?	
where is victoria beckham from?	
what office does paul ryan hold?	
what country is the iberian peninsula located in?	
who is daniel in the bible?	
who played marty mcfly's dad?	
who plays john connor in terminator salvation?	
what country was osama bin laden killed in?	
who won the governor election in michigan?	
where did heidi klum and seal get married?	
who created the chinese communist party?	
what timezone is new england usa in?	
what happened to rev. robert schuller?	
who plays the voice of meg in family guy?	
what can you visit in london?	
what form of government does north korea?	
where is located cornell university?	
who speaks arabic language?	
what dialects are spoken in the uk?	
what should i visit in venice?	
where james madison was born?	
what team does kareem abdul jabbar play for?	
who is jeff probst ex wife?	
where is tsonga born?	
what island is bethany hamilton from?	
what is paige halliwell's powers?	
what did jean jacques rousseau write?	
what city is the state capital of washington?	
what does shawn johnson do?	
what year did michael jordan get drafted?	
who does mark sanchez play for?	
what sea does the yangtze river empty into?	
what movies have gerard butler been in?	
what country is beside france?	
what type of government germany have?	
who is the leader of japan right now?	
when did michael jordan started playing basketball in the nba?	
what movies were michael clarke duncan?	
in which city was president kennedy killed?	
where is martin cooper from?	
what is charlie sheen's dad's name?	
how much mlb teams are there?	
what office does boehner hold?	
where do the baltimore ravens play?	
what sport do the harlem globetrotters play?	
who was betty white married too?	
where is poe buried now?	
where is danish located?	
who plays mary jane in spiderman 2?	
what languages do scottish people speak?	
what type of money does brazil have?	
who started mary kay?	
what types of government does france have?	
where is mount st helens?	
who are the players on the toronto maple leafs?	
what present day countries use english as their national language?	
in which continent is russia?	
what to do in ottawa ontario today?	
who is galileo galilei and what is he famous for?	
what is the money currency in guatemala?	
where is angola located?	
what is tibetan language?	
when did maria sharapova start playing tennis?	
what sort of government does canada have?	
what form of government does australia?	
what are the official languages of jamaica?	
who was the voice of simba?	
what is the capital of oregon?	
what do spain call their money?	
which party did lincoln belong to?	
who plays saruman in lord of the rings?	
what is the currency of mexico called?	
what teams did shaq play 4?	
what currency does turkey accept?	
who was vice president under lincoln?	
what state is the george washington university in?	
where did andreas vesalius die?	
where did paul ryan attend college?	
when was george h.w. bush elected president?	
where was emperor qin shi huang born?	
where the seneca indians lived?	
which country does irish language come from?	
what movies gerard butler in?	
where did mendeleev died?	
where is glastonbury uk?	
what language did ancient romans write in?	
what team does diego forlan currently play for?	
what other movies is liam hemsworth in?	
what to do downtown san francisco?	
what kind of cancer did bob marley died from?	
what religion did jesus christ follow?	
who was luke skywalker played by?	
who was the secretary of state when richard nixon was president?	
who does the voice of kovu in lion king?	
what year was tom brady drafted?	
what party is bloomberg affiliated with?	
where does t boone pickens live?	
where was saint paul from?	
what is the capital city of germany now?	
where is arabic the official language?	
what continent is syria located in?	
what events does stephanie rice compete in?	
where did hurricane irene?	
what region is thailand located in?	
who was president when the us navy department was established?	
where to visit in orlando florida?	
what was alexander graham bell known for?	
what band did joe satriani play in?	
what did mitch hedberg od on?	
which three countries share a land border with cambodia?	
what country was juan ponce de leon from?	
where to go in florida for vacation?	
who plays shao kahn?	
what did douglas engelbart invent?	
where did chef chuck hughes go to school?	
who plays marvin eriksen?	
what did james madison wrote?	
where is fiat abarth made?	
where was tommy steele born?	
what does chad michael murray play in?	
what are some important events in ancient egypt?	
who was sworn into office when john f kennedy was assassinated?	
what date did the earthquake in christchurch happen?	
when did mcgee join the ncis team?	
where are you if you're in khartoum?	
where is university of auburn?	
what countries are around egypt?	
what did julia roberts won an oscar for?	
what year did mitt romney first run for president?	
who is engaged to john legend?	
what nestle owns?	
who won governor of indiana 2012?	
where did the allied invasion of france take place?	
where did alex smith play high school football?	
where is pyramids of giza located?	
when does nasdaq start trading?	
what kind of government does iran have today?	
what are the primary languages of france?	
what language do they speak in guyana south america?	
what year were the new york yankees established?	
what city was nelson mandela born in?	
what did frankie lymon die from?	
what to see near austin?	
where did trey songz go to high school?	
what was matthias schleiden known for?	
what country was jesus born?	
who is kristen stewart parents?	
what is kate spade?	
what team does lamar odom play for 2013?	
who founded the american federation of labor afl in 1886?	
where is louisville ne?	
where does missouri river end?	
where is italian spoken around the world?	
what is currency in panama?	
what 5 countries border romania?	
when was the last time the kansas city chiefs won a superbowl?	
where did will smith go to high school?	
where is united arab located?	
what other movies has liam hemsworth?	
what is duncan bannatyne?	
what was caesar augustus known for?	
which countries border the baltic sea?	
who is keyshia cole married too?	
who does christine gregoire represent?	
what were some inventions of leonardo da vinci?	
where did president andrew jackson grew up?	
what countries and seas border ukraine?	
where the murray river located?	
where was joe biden a senator?	
what is the money currency in italy?	
where was adolf hitler died?	
what city was woodstock held in?	
what did john williams play?	
who started southwest airlines?	
who is the current president of colombia?	
who is abraham descended from?	
what did atticus finch do?	
what type of cancer did patrick swayze die from?	
what was james madison's job?	
what language does people in france speak?	
where is the spratly islands located?	
where did hammurabi come from?	
what timezone is colorado in?	
where is st helens park nsw?	
what is d capital city of south africa?	
into what language family does english fall?	
who is mexico's president right now?	
what are the different dialects of chinese?	
what city was kennedy shot?	
who owns the sf giants owner?	
what is the capital of kentucky known for its bluegrass?	
what money do you use in aruba?	
where did apostle paul grow up?	
which countries share land border with vietnam?	
who did queen mary marry?	
who is the chicago bulls head coach?	
what type of money do you use in cuba?	
who are the two state senators of georgia?	
what type of government does australia use?	
what language do people in czech republic speak?	
who plays riley finn on buffy the vampire slayer?	
what kind of political system is canada?	
who plays giles in buffy the vampire slayer?	
who voices lola bunny in looney tunes?	
what did charles babbage create in the 1800s?	
who voices anakin in the clone wars?	
who plays faramir in lord of the rings?	
when is the last time chicago bulls won a championship?	
what is jonathan swift famous for?	
what is the holy book in taoism?	
where was dr luther king jr born?	
who does peyton manning play 4?	
what professional baseball team did michael jordan play for?	
where is bob marley grave?	
what did hitler do bad?	
where is murray kentucky?	
what time zone is anaheim ca?	
where is mount vernon texas?	
what countries are included in the netherlands?	
what is caesar augustus known for?	
what form of government is israel?	
who is timothy hutton married to?	
what is the biggest country in europe by population?	
what are the african nations?	
where did dr. martin luther king jr. go to school?	
what party did paul keating belong to?	
what book did w.e.b. dubois wrote?	
what are romney's sons names?	
where is art smith from?	
what films did michael clarke duncan star in?	
what other political offices has obama been in?	
what airport do you fly into for clearwater florida?	
what college did russell wilson go to?	
what inspired van gogh work?	
where is fresno texas located?	
what type of government does mexico use?	
what team rasheed wallace?	
what is the timezone in england called?	
what was abe lincoln's wife name?	
what team does pudge rodriguez play for?	
what form of government do we have in the usa?	
who are famous people from spain?	
when did shaq come to the nba?	
what empire did maria theresa rule?	
where is texas rangers home stadium?	
what movie is angelina jolie directing?	
what language do they speak brazil?	
who is jimmy fallon married to?	
what country is russia close to?	
who is the coach of inter milan now?	
what is the money called in peru?	
what movies did kristen stewart act in?	
what art movement does vincent van gogh belong to?	
what county is orlando fl in?	
what type of government is the philippines?	
what do you call russian currency?	
where did sir donald bradman live?	
what is the name of the broncos mascot?	
what kind government does the us have?	
After whom is the Riemannian geometry named?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?result WHERE { wd:Q761383 wdt:P138 ?result. }
Which animal participated in a military operation with the Australian Defence Force?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?result WHERE {?result wdt:P31 wd:Q16521. ?mop wdt:P31 wd:Q645883; wdt:P710 ?result, wd:Q625657.}
among the characters in the witcher, who has two unmarried partners, Yennefer of Vengerberg and Triss Merigold?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?result WHERE {wd:Q11835640 wdt:P674 ?result. ?result wdt:P451 ?p1, ?p2. FILTER(?p1 != ?p2 &&(?result IN (wd:Q4205826, wd:Q4463198)))}
among the founders of tencent company, who has been member of national people’s congress?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?result WHERE {wd:Q860580 wdt:P112 ?result. ?result wdt:P39 wd:Q10891456.}
among the other representative work of the author of hunter x hunter, which one is talking about middle school student?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?result WHERE {wd:Q696071 wdt:P50 ?author. ?author wdt:P800 ?result. ?result wdt:P921 wd:Q16003532 FILTER(?result != wd:Q69071)}
On which stock exchanges are Siemens AG shares traded?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?result WHERE {wd:Q81230 wdt:P414 ?result}
Apart from the book series the witcher, name all of the author’s notable work.	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?result WHERE {wd:Q11835640 wdt:P50 ?author. ?author wdt:P800 ?result. FILTER(?result != wd:Q11835640)}
are brooke raboutou and colin duffy from same state of the usa?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> ASK {wd:Q2926117 wdt:P19 ?b1. wd:Q87192979 wdt:P19 ?b2. ?b1 wdt:P131* ?state. ?b2 wdt:P131* ?state. ?state wdt:P31 wd:Q35657 .}
What is the boiling point of water?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?result WHERE{wd:Q283 wdt:P2102 ?result}
At which school was Yayoi Kusama educated at?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?result {wd:Q231121 wdt:P69 ?result}
Which High School did Allen Ginsberg attend?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?result {wd:Q6711 wdt:P69 ?result. ?result wdt:P31 wd:Q9826}
On which island is the Indonesian capital located?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?result {wd:Q252 wdt:P36 ?capital. ?capital wdt:P706 ?result. ?result wdt:P31 wd:Q23442}
can i play don't starve on play station 4?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> ASk {wd:Q3208174 wdt:P400 wd:Q5014725.}
How many General Secretaries of the CPSU were there before Leonid Brezhnev?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT (COUNT(?gensec) as ?result) WHERE{wd:Q765165 p:P39 ?pos. ?pos ps:P39 wd:Q1048744; pq:P580 ?st. ?gensec p:P39 ?pos2. ?pos2 ps:P39 wd:Q1048744; pq:P580 ?st2. FILTER(?st2 < ?st)}
How many different presidents of Russia have there been that took the position after 1990?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT (COUNT(DISTINCT ?president) AS ?result) WHERE{?president p:P39 ?pos. ?pos ps:P39 wd:Q218295. ?pos pq:P580 ?start. FILTER((YEAR(?start)> 1990))}
Did adam ondra win a medal in the 2020 summer olympics?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> ASK{wd:Q350568 p:P1344 ?event. ?event ps:P1344 ?eventStatement. ?eventStatement wdt:P361* wd:Q181278. ?event pq:P1352 ?ranking. FILTER(?ranking <= 3)}
Did the Chicago Bulls win at least two seasons of the NBA championship?	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> ASK{{SELECT (COUNT (?season) AS ?count) WHERE {?season wdt:P3450 wd:Q155223. ?season wdt:P1346 wd:Q128109}} FILTER(?count >= 2)}
