dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),J(A1-A2),J(A1-A34),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),J(A3-A4),idk_A1,idk_A2,idk_A3,idk_A4,idk_A1*,idk_A1**,?A1=A1(ave),J_A1_ave,idk,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
spinach,fixing,o3,0.7,0.6333,0.8133,0.7533,0.8067,0.6267,0.2933,0.28,0.3,,,,,,0.8161,0.7586,0.7532,0.5383,0.5545,0.5654,0.1842,0.1333,0.1067,0.0533,0.16,0.0933,0.1133,0.2911,0.5527,0.1133,0.0,0.0,0.0,0.0,0.1334,0.0
spinach,zero-shot,deepseek-chat,0.3133,0.0933,0.3067,0.2733,0.2733,0.02,0.2361,,,0.3733,0.5667,0.6533,0.6067,0.4067,0.5802,0.3364,0.1799,0.5133,,,0.4524,0.04,0.04,0.16,0.24,0.0,0.0,0.2361,0.5133,0.12,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,deepseek-reasoner,0.1733,0.1067,0.38,0.2467,0.7667,0.0933,0.2014,,,0.3467,0.4467,0.3733,0.8333,0.2733,0.4896,0.3992,0.2953,0.4834,,,0.1264,0.0467,0.06,0.0333,0.0667,0.0,0.0,0.2014,0.4834,0.0517,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,gemini-2.0-flash,0.4,0.1,0.4267,0.2733,0.42,0.04,0.4861,,,0.44,0.3933,0.6933,0.66,0.3533,0.6502,0.3837,0.2379,0.7066,,,0.3211,0.0,0.0,0.0067,0.2133,0.0,0.0,0.4861,0.7066,0.055,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,gemini-2.5-flash,0.32,0.14,0.4133,0.2867,0.5667,0.14,0.3333,,,0.4267,0.5267,0.6,0.8733,0.5,0.6065,0.3657,0.2905,0.626,,,0.3203,0.0467,0.04,0.0533,0.28,0.0,0.0,0.3333,0.626,0.105,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,gemini-2.5-pro,0.3267,0.2,0.5,0.3067,0.7267,0.1867,0.2083,,,0.3867,0.5667,0.4,0.8267,0.3267,0.6705,0.504,0.3933,0.4816,,,0.1249,0.0067,0.0133,0.06,0.06,0.0,0.0,0.2083,0.4816,0.035,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,gpt-4.1-2025-04-14,0.3867,0.16,0.5133,0.34,0.5,0.1,0.2847,,,0.42,0.5467,0.56,0.6333,0.2467,0.6766,0.5425,0.3493,0.5693,,,0.2266,0.0,0.0133,0.04,0.0867,0.0,0.0,0.2847,0.5693,0.035,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,gpt-4.1-mini-2025-04-14,0.16,0.0667,0.38,0.12,0.6067,0.0267,0.2083,,,0.2933,0.4067,0.7733,0.7933,0.2467,0.273,0.2446,0.1046,0.402,,,0.2583,0.0067,0.0867,0.02,0.18,0.0,0.0,0.2083,0.402,0.0734,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,gpt-4.1-nano-2025-04-14,0.2933,0.0867,0.46,0.38,0.4333,0.0133,0.1429,,,0.4467,0.5533,0.6067,0.6067,0.9867,0.6064,0.3911,0.208,0.3879,,,0.3712,0.0267,0.0467,0.0933,0.1467,0.0,0.0,0.1429,0.3879,0.0784,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,gpt-4o,0.14,0.02,0.1267,0.0933,0.04,0.0133,0.2431,,,0.9067,0.8933,0.92,0.96,0.94,0.1752,0.0486,0.0373,0.4729,,,0.9276,0.2533,0.76,0.7733,0.86,0.0,0.0,0.2431,0.4729,0.6616,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,gpt-5,0.22,0.2067,0.3933,0.3267,0.4467,0.1867,0.3056,,,0.7667,0.8,0.8067,0.94,0.7,0.3224,0.3775,0.3146,0.4787,,,0.4934,0.38,0.5,0.2933,0.44,0.0,0.0,0.3056,0.4787,0.4033,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,gpt-5-mini,0.2,0.2,0.2933,0.2733,0.2867,0.1733,0.1597,,,0.7867,0.9467,0.9467,0.9667,0.88,0.295,0.2586,0.2385,0.2594,,,0.6899,0.5867,0.4733,0.5267,0.6267,0.0,0.0,0.1597,0.2594,0.5534,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,gpt-5-nano,0.2733,0.1733,0.28,0.2933,0.4333,0.16,0.2639,,,0.7467,0.7933,0.8267,0.9267,0.7267,0.412,0.2863,0.2482,0.4218,,,0.5499,0.4,0.42,0.42,0.4467,0.0,0.0,0.2639,0.4218,0.4217,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,gpt-oss:20b,0.1733,0.0933,0.2667,0.2333,0.6467,0.0867,,,,0.48,0.4933,0.48,0.8467,0.3933,0.3627,0.3299,0.2251,,,,0.2669,0.1533,0.2267,0.1267,0.1667,0.0,0.0,,,0.1684,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,grok-3-mini,0.2333,0.2333,0.5,0.3933,0.6667,0.2133,,,,0.3867,0.5667,0.6,0.8933,0.48,0.5195,0.5055,0.388,,,,0.26,0.04,0.1,0.08,0.18,0.0,0.0,,,0.1,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,llama3.1:70b,0.2,0.0733,0.3,0.2467,0.6267,0.0267,,,,0.24,0.6333,0.6733,0.7,0.1267,0.4444,0.3644,0.1755,,,,0.1832,0.0067,0.0133,0.0067,0.0733,0.0,0.0,,,0.025,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,llama3.1:8b,0.0533,0.02,0.1267,0.0733,0.6467,0.0,,,,0.9,0.76,0.8467,0.42,0.96,0.2815,0.2226,0.101,,,,0.1131,0.0067,0.0133,0.0133,0.0067,0.0,0.0,,,0.01,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,mistral-small:24b,0.1458,0.0556,0.1389,0.1458,0.25,0.0069,,,,0.7292,0.8611,0.8542,0.7361,0.9722,0.263,0.1557,0.0798,,,,0.6463,0.5625,0.2361,0.2639,0.4097,0.0,0.0,,,0.368,1.0,1.0,1.0,1.0,1.0,1.0
spinach,zero-shot,o3,0.2847,0.25,0.4931,0.4306,0.8472,0.2292,0.2778,,,0.4167,0.5556,0.5139,0.9028,0.3819,0.5963,0.5488,0.4552,0.517,,,0.1065,0.0417,0.0764,0.0347,0.0694,0.0,0.0,0.2778,0.517,0.0556,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,chain-of-thought,deepseek-chat,0.8792,0.7919,0.8926,0.8792,0.8926,0.7852,,,,,,,,,0.9052,0.8641,0.8534,,,,0.1023,0.0604,0.0671,0.047,0.0872,0.0,0.0,,,0.0654,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,chain-of-thought,deepseek-reasoner,0.9262,0.8725,0.9195,0.9128,0.9262,0.8658,,,,,,,,,0.9331,0.9097,0.897,,,,0.0698,0.0336,0.047,0.0268,0.0537,0.0,0.0,,,0.0403,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,chain-of-thought,gpt-4.1-2025-04-14,0.9463,0.8926,0.953,0.9732,0.9597,0.8792,,,,,,,,,0.9613,0.9559,0.9398,,,,0.034,0.0,0.0,0.0067,0.0134,0.0,0.0,,,0.005,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,chain-of-thought,gpt-5,0.8993,0.8926,0.9195,0.9396,0.9396,0.8859,,,,,,,,,0.9199,0.935,0.924,,,,0.0548,0.0403,0.047,0.0403,0.047,0.0,0.0,,,0.0436,0.0,0.0,0.0,0.0,0.0547,0.0
synthetic,chain-of-thought,llama3.1:70b,0.78,0.6467,0.7533,0.8133,0.8733,0.64,,,,,,,,,0.8382,0.7995,0.7769,,,,0.0983,0.02,0.0333,0.06,0.0533,0.0,0.0,,,0.0416,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,chain-of-thought,llama3.1:8b,0.7,0.3733,0.6133,0.6733,0.7133,0.3267,,,,,,,,,0.7981,0.5784,0.506,,,,0.1985,0.0267,0.04,0.0933,0.0933,0.0,0.0,,,0.0633,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,classification,deepseek-chat,0.8533,0.7067,0.8267,0.8467,0.8333,0.7,0.5133,0.4733,0.46,,,,,,0.8779,0.8035,0.793,0.7104,0.7076,0.7134,0.1609,0.08,0.1,0.0933,0.1,0.0533,0.0267,0.4822,0.7105,0.0933,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,classification,deepseek-reasoner,0.6667,0.76,0.8533,0.8267,0.8467,0.7467,0.3667,0.3,0.4,,,,,,0.7168,0.8207,0.7957,0.6085,0.5835,0.6825,0.1517,0.06,0.0733,0.0867,0.12,0.0733,0.1067,0.3556,0.6248,0.085,0.0,0.0,0.0,0.0,0.0017,0.0
synthetic,classification,gemini-2.0-flash,0.7867,0.6533,0.5067,0.7067,0.7133,0.6067,0.44,0.3933,0.4267,0.9,0.5667,,,0.8533,0.8626,0.7261,0.6938,0.6852,0.6038,0.6138,0.227,0.08,0.0733,0.1533,0.2,0.0533,0.16,0.42,0.6343,0.1266,0.0,0.0,0.295,0.0,0.0049,0.0
synthetic,classification,gemini-2.5-flash,0.8467,0.86,0.68,0.9133,0.9333,0.86,0.4467,0.4,0.4467,0.92,0.72,,,0.9467,0.9084,0.8986,0.8965,0.7355,0.7106,0.7719,0.061,0.04,0.0333,0.0267,0.04,0.04,0.0267,0.4311,0.7393,0.035,0.0,0.0,0.0058,0.0,0.0107,0.0
synthetic,classification,gemini-2.5-pro,0.7533,0.6067,0.58,0.68,0.8067,0.5933,0.4867,0.3533,0.4067,0.9533,0.7333,,,0.8533,0.8002,0.6632,0.6488,0.7228,0.6142,0.669,0.1779,0.1067,0.0867,0.0867,0.1133,0.0467,0.1533,0.4156,0.6687,0.0984,0.0,0.0,0.0201,0.0,0.0,0.0
synthetic,classification,gpt-4.1-2025-04-14,0.88,0.8267,0.6867,0.9533,0.9267,0.8133,0.4267,0.3933,0.44,0.92,0.7067,,,0.84,0.9426,0.9249,0.9273,0.7525,0.7248,0.7467,0.0574,0.02,0.0267,0.0267,0.04,0.0133,0.0267,0.42,0.7413,0.0284,0.0,0.0,0.4373,0.0,0.0,0.0
synthetic,classification,gpt-4.1-mini-2025-04-14,0.8067,0.78,0.5333,0.8733,0.8733,0.76,0.3467,0.2867,0.3333,0.84,0.44,,,0.82,0.8891,0.8564,0.8478,0.6201,0.6215,0.628,0.1082,0.06,0.0667,0.0333,0.0867,0.0867,0.0867,0.3222,0.6232,0.0617,0.0,0.0,0.7852,0.0,0.0,0.0
synthetic,classification,gpt-4.1-nano-2025-04-14,0.02,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.98,0.9867,,,1.0,0.026,0.0042,0.0,0.0,0.0,0.0,0.8254,0.9667,0.9467,0.4267,0.6133,0.9733,0.9733,0.0,0.0,0.7384,0.0,0.0,0.6715,0.0249,1.0,1.0
synthetic,classification,gpt-4o,0.6,0.4733,0.4467,0.5267,0.5467,0.4733,0.2867,0.2733,0.3667,0.9667,0.8267,,,0.82,0.6222,0.5012,0.4954,0.4659,0.4302,0.5165,0.4407,0.3533,0.3533,0.4133,0.4067,0.1933,0.3867,0.3089,0.4709,0.3816,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,classification,gpt-5,0.8,0.78,0.64,0.8133,0.82,0.78,0.5133,0.5,0.5067,0.9267,0.7867,,,0.9733,0.8666,0.801,0.7987,0.7279,0.7075,0.7047,0.18,0.0933,0.0933,0.1133,0.1667,0.1133,0.16,0.5067,0.7134,0.1166,0.0,0.0,0.0098,0.0,0.7597,0.0
synthetic,classification,gpt-5-mini,0.7,0.4533,0.48,0.4867,0.76,0.4533,0.38,0.4,0.3933,0.9,0.7267,,,0.74,0.7648,0.5627,0.4688,0.5774,0.6031,0.5903,0.24,0.1933,0.1867,0.1867,0.2,0.2,0.2067,0.3911,0.5903,0.1917,0.0,0.0043,0.7084,0.4007,0.0,0.0
synthetic,classification,gpt-5-nano,0.7467,0.62,0.0733,0.7067,0.2067,0.0,0.0867,0.54,0.0533,0.7867,0.1533,,,0.1533,0.7539,0.693,0.073,0.0986,0.5453,0.0699,0.7933,0.0467,0.06,0.02,0.0067,0.0267,0.04,0.2267,0.2379,0.0334,0.0001,0.0,1.0,0.0019,1.0,1.0
synthetic,classification,gpt-oss:20b,0.62,0.4533,0.48,0.7067,0.82,0.4333,0.24,0.2467,0.24,0.68,0.56,,,0.56,0.7913,0.7059,0.646,0.533,0.5658,0.5936,0.1243,0.0467,0.04,0.06,0.06,0.0467,0.0467,0.2422,0.5641,0.0517,0.0,0.0,0.5722,0.0,0.0251,0.0
synthetic,classification,grok-3-mini,0.86,0.7733,0.6,0.8867,0.9133,0.76,0.3867,0.3867,0.4,0.9267,0.66,,,0.86,0.9191,0.879,0.8582,0.6896,0.6814,0.6728,0.0867,0.04,0.0467,0.0467,0.0467,0.04,0.0267,0.3911,0.6813,0.045,0.0,0.0,0.5,0.0,0.0481,0.0
synthetic,classification,llama3.1:70b,0.8133,0.5933,0.5067,0.8733,0.9,0.5933,0.2667,0.2667,0.22,0.88,0.48,,,0.5667,0.9137,0.8773,0.84,0.6103,0.5952,0.5764,0.0527,0.0067,0.02,0.0067,0.0133,0.0,0.0,0.2511,0.594,0.0117,0.0,0.0,0.0113,0.0,0.0,0.0
synthetic,classification,llama3.1:8b,0.2267,0.1067,0.1533,0.42,0.68,0.0867,0.1067,0.0933,0.0733,0.7533,0.7533,,,0.74,0.6402,0.5797,0.4721,0.4224,0.3968,0.3736,0.0901,0.0,0.0,0.0,0.0,0.0,0.0,0.0911,0.3976,0.0,0.0,0.0,0.9252,0.0,0.1605,0.0001
synthetic,classification,mistral-small:24b,0.8267,0.5533,0.5467,0.8067,0.8067,0.5267,0.36,0.32,0.3333,0.8733,0.4467,,,0.4667,0.8991,0.7492,0.7184,0.671,0.6502,0.6517,0.1766,0.0267,0.0333,0.0867,0.0733,0.0133,0.0,0.3378,0.6576,0.055,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,classification,o3,0.9067,0.8933,0.5733,0.96,0.96,0.8867,0.3933,0.3533,0.3467,0.8933,0.5867,,,0.9333,0.9701,0.9499,0.944,0.7092,0.7044,0.6998,0.0382,0.0067,0.0067,0.0067,0.0267,0.0133,0.0267,0.3644,0.7045,0.0117,0.0,0.0,0.1481,0.0,0.0,0.0
synthetic,fixing,deepseek-chat,0.8733,0.76,0.86,0.9,0.8533,0.74,0.6,0.6467,0.6,,,,,,0.9325,0.8577,0.8437,0.8014,0.8228,0.8104,0.1392,0.0267,0.02,0.0533,0.0867,0.0267,0.0267,0.6156,0.8115,0.0467,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,fixing,deepseek-reasoner,0.7533,0.66,0.7867,0.86,0.9267,0.6467,0.26,0.24,0.2733,,,,,,0.8847,0.8729,0.8561,0.5773,0.5358,0.5768,0.0542,0.0067,0.0067,0.0267,0.02,0.0267,0.0133,0.2578,0.5633,0.015,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,fixing,gemini-2.0-flash,0.86,0.7933,0.8733,0.9133,0.92,0.78,0.8267,0.78,0.8,,,,,,0.8733,0.8989,0.9021,0.9335,0.9037,0.9159,0.0673,0.0067,0.0,0.0067,0.06,0.0067,0.0067,0.8022,0.9177,0.0183,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,fixing,gemini-2.5-flash,0.88,0.8667,0.9133,0.9133,0.94,0.8667,0.7533,0.72,0.7333,,,,,,0.9255,0.9057,0.9118,0.8734,0.8541,0.8494,0.06,0.0267,0.02,0.0133,0.06,0.0333,0.0333,0.7355,0.859,0.03,0.0,0.0,0.0,0.0,0.0287,0.0
synthetic,fixing,gemini-2.5-pro,0.5733,0.5533,0.4267,0.62,0.9,0.5533,0.2933,0.4067,0.2867,,,,,,0.6031,0.5995,0.6042,0.3909,0.5245,0.4257,0.0983,0.24,0.24,0.02,0.0733,0.3867,0.1333,0.3289,0.447,0.1433,0.0,0.0,0.6955,0.0,0.0,0.0
synthetic,fixing,gpt-4.1-2025-04-14,0.8733,0.7867,0.9267,0.8867,0.8933,0.7733,0.6733,0.68,0.68,,,,,,0.9529,0.8857,0.8852,0.9041,0.8998,0.9011,0.09,0.0133,0.0133,0.02,0.08,0.0133,0.0133,0.6778,0.9017,0.0316,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,fixing,gpt-4.1-mini-2025-04-14,0.7933,0.7267,0.8867,0.92,0.78,0.6933,0.6067,0.64,0.66,,,,,,0.9084,0.8537,0.792,0.8549,0.8919,0.8584,0.1439,0.02,0.04,0.06,0.0467,0.02,0.02,0.6356,0.8684,0.0417,0.0,0.0,0.0,0.0,0.0001,0.0
synthetic,fixing,gpt-4.1-nano-2025-04-14,0.54,0.32,0.5267,0.6333,0.38,0.18,0.4467,0.48,0.46,,,,,,0.6679,0.5622,0.3578,0.6422,0.6631,0.6464,0.4546,0.06,0.12,0.1467,0.1067,0.0667,0.0733,0.4622,0.6506,0.1084,0.0001,0.0,0.007,0.0003,0.9429,0.0001
synthetic,fixing,gpt-4o,0.66,0.6,0.72,0.7667,0.7733,0.6,0.3733,0.3933,0.42,,,,,,0.7462,0.7364,0.7161,0.6078,0.6199,0.6514,0.2157,0.1733,0.18,0.1467,0.1867,0.1867,0.18,0.3955,0.6264,0.1717,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,fixing,gpt-5,0.7533,0.8,0.84,0.8333,0.8467,0.8,0.4467,0.4467,0.4267,,,,,,0.8431,0.831,0.8359,0.6764,0.6725,0.6653,0.1533,0.1267,0.1333,0.1133,0.1467,0.1333,0.1267,0.44,0.6714,0.13,0.0,0.0,0.0,0.0,0.2272,0.0
synthetic,fixing,gpt-5-mini,0.6,0.5933,0.6333,0.6667,0.6533,0.5867,0.3333,0.34,0.3667,,,,,,0.6737,0.6198,0.6197,0.5207,0.5186,0.5569,0.3433,0.2667,0.2467,0.24,0.2533,0.28,0.26,0.3467,0.5321,0.2517,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,fixing,gpt-5-nano,0.74,0.6,0.68,0.7133,0.7067,0.6,0.4067,0.4267,0.4,,,,,,0.785,0.6689,0.6725,0.6033,0.621,0.5942,0.293,0.1867,0.1733,0.1667,0.2533,0.2133,0.2067,0.4111,0.6062,0.195,0.0,0.0,0.0,0.0,0.0059,0.0
synthetic,fixing,gpt-oss:20b,0.64,0.6533,0.7733,0.82,0.8867,0.6533,0.2867,0.3,0.2733,,,,,,0.8162,0.8007,0.8111,0.5929,0.597,0.5638,0.1076,0.04,0.0333,0.0267,0.0867,0.06,0.0667,0.2867,0.5846,0.0467,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,fixing,grok-3-mini,0.8667,0.82,0.8933,0.9267,0.8867,0.82,0.4933,0.4,0.4133,,,,,,0.9265,0.891,0.8899,0.7376,0.6614,0.7101,0.1027,0.0333,0.0533,0.06,0.0667,0.0133,0.04,0.4355,0.703,0.0533,0.0,0.0,0.0,0.0,0.0154,0.0
synthetic,fixing,llama3.1:70b,0.68,0.64,0.7867,0.8533,0.9,0.6333,0.2867,0.3333,0.2867,,,,,,0.8008,0.8216,0.8205,0.6224,0.627,0.5811,0.0807,0.0,0.0333,0.0467,0.0267,0.0,0.0,0.3022,0.6102,0.0267,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,fixing,llama3.1:8b,0.2067,0.04,0.2133,0.1733,0.62,0.04,0.06,0.0467,0.0533,,,,,,0.5639,0.3849,0.2844,0.2753,0.2564,0.2895,0.1163,0.0,0.0,0.0067,0.0,0.0,0.0,0.0533,0.2737,0.0017,0.0001,0.0156,0.4427,0.2088,0.5,0.0156
synthetic,fixing,mistral-small:24b,0.74,0.5133,0.7867,0.9,0.82,0.4933,0.4933,0.5467,0.5267,,,,,,0.8687,0.7353,0.7278,0.753,0.7741,0.7763,0.1521,0.04,0.0133,0.0933,0.06,0.0467,0.04,0.5222,0.7678,0.0516,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,fixing,o3,0.7333,0.8667,0.92,0.9133,0.9533,0.8667,0.4333,0.3733,0.3667,,,,,,0.9182,0.9178,0.9188,0.715,0.6663,0.6517,0.0467,0.04,0.0333,0.02,0.0467,0.04,0.0533,0.3911,0.6777,0.035,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,zero-shot,deepseek-chat,0.46,0.1467,0.34,0.36,0.34,0.06,0.3467,,,0.5467,0.5733,0.62,0.5667,0.3267,0.6754,0.4401,0.264,0.5964,,,0.3776,0.0267,0.0533,0.1333,0.1333,0.0,0.0,0.3467,0.5964,0.0866,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,deepseek-reasoner,0.2867,0.22,0.52,0.42,0.7267,0.1733,0.25,,,0.4067,0.5467,0.4667,0.76,0.2333,0.5706,0.5409,0.4397,0.7556,,,0.0694,0.0133,0.0133,0.0067,0.0333,0.0,0.0,0.25,0.7556,0.0166,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,gemini-2.0-flash,0.4267,0.1267,0.5267,0.34,0.5667,0.0533,0.6067,,,0.5333,0.5067,0.62,0.6133,0.3667,0.7391,0.5171,0.3129,0.8385,,,0.1748,0.0,0.0067,0.0,0.04,0.0,0.0,0.6067,0.8385,0.0117,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,gemini-2.5-flash,0.4533,0.22,0.5933,0.3267,0.74,0.2067,0.46,,,0.5667,0.6267,0.5267,0.94,0.4133,0.7354,0.4905,0.421,0.7363,,,0.1984,0.02,0.0267,0.0133,0.1733,0.0,0.0,0.46,0.7363,0.0583,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,gemini-2.5-pro,0.4133,0.2467,0.5933,0.4,0.8133,0.22,0.2733,,,0.5067,0.6267,0.4467,0.84,0.2867,0.7499,0.6066,0.4921,0.5917,,,0.0516,0.0133,0.0133,0.0067,0.0133,0.0,0.0,0.2733,0.5917,0.0116,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,gpt-4.1-2025-04-14,0.46,0.2667,0.66,0.5333,0.56,0.1533,0.32,,,0.4867,0.6867,0.5667,0.6333,0.2267,0.746,0.6546,0.4561,0.6581,,,0.1921,0.0,0.0,0.0267,0.04,0.0,0.0,0.32,0.6581,0.0167,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,gpt-4.1-mini-2025-04-14,0.2467,0.0933,0.5667,0.22,0.58,0.0333,0.3267,,,0.3533,0.44,0.6733,0.6933,0.16,0.4523,0.4128,0.2333,0.6579,,,0.1802,0.0,0.04,0.02,0.08,0.0,0.0,0.3267,0.6579,0.035,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,gpt-4.1-nano-2025-04-14,0.34,0.0733,0.42,0.4067,0.48,0.0533,0.2,,,0.5067,0.52,0.5533,0.5933,0.9467,0.6337,0.3833,0.2596,0.4468,,,0.3002,0.0267,0.0667,0.1,0.1,0.0,0.0,0.2,0.4468,0.0734,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,gpt-4o,0.1267,0.0267,0.1533,0.1067,0.0933,0.0267,0.3733,,,0.94,0.9,0.9067,0.9733,0.94,0.1359,0.0667,0.0536,0.663,,,0.8913,0.1267,0.8133,0.7267,0.8267,0.0,0.0,0.3733,0.663,0.6234,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,gpt-5,0.3,0.2867,0.5733,0.4067,0.7133,0.2667,0.4,,,0.5933,0.74,0.6533,0.94,0.5333,0.5304,0.5445,0.4905,0.6206,,,0.2302,0.1533,0.2333,0.0467,0.2067,0.0,0.0,0.4,0.6206,0.16,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,gpt-5-mini,0.2933,0.2467,0.4133,0.3467,0.4933,0.22,0.2667,,,0.7467,0.9,0.8467,0.9467,0.7667,0.4009,0.3741,0.3371,0.4045,,,0.4635,0.3933,0.2333,0.2867,0.4067,0.0,0.0,0.2667,0.4045,0.33,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,gpt-5-nano,0.4067,0.2667,0.5133,0.42,0.6133,0.2467,0.38,,,0.6667,0.74,0.7133,0.94,0.6133,0.5966,0.4921,0.4559,0.6029,,,0.3492,0.1867,0.2067,0.1933,0.26,0.0,0.0,0.38,0.6029,0.2117,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,gpt-oss:20b,0.2267,0.16,0.5,0.34,0.7333,0.14,,,,0.3467,0.5933,0.4267,0.8067,0.2733,0.4903,0.494,0.3676,,,,0.1254,0.0467,0.0533,0.0,0.08,0.0,0.0,,,0.045,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,grok-3-mini,0.4067,0.2933,0.6067,0.4733,0.8533,0.2667,,,,0.4867,0.6533,0.5267,0.9067,0.3467,0.6741,0.6466,0.5745,,,,0.0665,0.02,0.0133,0.02,0.0267,0.0,0.0,,,0.02,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,llama3.1:70b,0.2667,0.08,0.38,0.3067,0.6533,0.0333,,,,0.3133,0.5933,0.5467,0.68,0.0733,0.5431,0.4423,0.2625,,,,0.1272,0.0067,0.0,0.0067,0.0133,0.0,0.0,,,0.0067,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,llama3.1:8b,0.0667,0.0,0.2,0.1333,0.6,0.0,,,,0.86,0.74,0.7867,0.42,0.98,0.3819,0.2925,0.1473,,,,0.1217,0.0,0.0,0.0067,0.0133,0.0,0.0,,,0.005,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,mistral-small:24b,0.1867,0.0333,0.2,0.18,0.3067,0.0133,,,,0.7067,0.8,0.82,0.6733,0.9667,0.3313,0.1915,0.1184,,,,0.4796,0.4933,0.0733,0.2133,0.2933,0.0,0.0,,,0.2683,1.0,1.0,1.0,1.0,1.0,1.0
synthetic,zero-shot,o3,0.2867,0.26,0.5267,0.38,0.8067,0.2333,0.3533,,,0.4067,0.5733,0.4267,0.8467,0.3,0.5704,0.5592,0.4958,0.6538,,,0.0687,0.0267,0.0267,0.0133,0.0267,0.0,0.0,0.3533,0.6538,0.0234,1.0,1.0,1.0,1.0,1.0,1.0
overall,chain-of-thought,deepseek-chat,0.8316,0.633,0.7559,0.7424,0.7896,0.6263,,,,,,,,,0.8471,0.7454,0.7228,,,,0.2038,0.1296,0.1313,0.1448,0.1717,0.0,0.0,,,0.1444,0.0,0.0,0.0,0.0,0.0,0.0
overall,chain-of-thought,deepseek-reasoner,0.8598,0.7229,0.8047,0.7896,0.8247,0.7145,,,,,,,,,0.8744,0.7925,0.7798,,,,0.1687,0.0985,0.1052,0.1135,0.1436,0.0,0.0,,,0.1152,0.0,0.0,0.0,0.0,0.0001,0.0
overall,chain-of-thought,gpt-4.1-2025-04-14,0.9175,0.803,0.9057,0.8956,0.8805,0.7896,,,,,,,,,0.942,0.8706,0.8546,,,,0.1086,0.0269,0.0303,0.0539,0.0758,0.0,0.0,,,0.0467,0.0,0.0,0.0,0.0,0.0,0.0
