llm,dataset,relation,True,Accuracy,Size,Equivalence,Contains,ContainedBy,Overlap,Disjoint,Unknown,Else
mistral-small:24b,lc-quad,R(1-34),Equivalence,0.0733(11),150,0.0733(11),0.0000(0),0.4667(70),0.0067(1),0.3267(49),0.1267(19),0.0000(0)
mistral-small:24b,qawiki,R(1-2),Equivalence,0.9200(138),150,0.9200(138),0.0067(1),0.0200(3),0.0467(7),0.0067(1),0.0000(0),0.0000(0)
mistral-small:24b,qawiki,R(1-3),Contains,0.0000(0),150,0.0133(2),0.0000(0),0.9000(135),0.0133(2),0.0133(2),0.0600(9),0.0000(0)
mistral-small:24b,qawiki,R(1-4),Contains,0.0200(3),150,0.0000(0),0.0200(3),0.2267(34),0.1867(28),0.4000(60),0.1667(25),0.0000(0)
mistral-small:24b,qawiki,R(3-4),Disjoint,1.0000(150),150,0.0000(0),0.0000(0),0.0000(0),0.0000(0),1.0000(150),0.0000(0),0.0000(0)
mistral-small:24b,qawiki,R(1-34),Equivalence,0.1467(22),150,0.1467(22),0.0000(0),0.5267(79),0.0000(0),0.3067(46),0.0200(3),0.0000(0)
mistral-small:24b,spinach,R(1-2),Equivalence,0.9400(141),150,0.9400(141),0.0000(0),0.0467(7),0.0133(2),0.0000(0),0.0000(0),0.0000(0)
mistral-small:24b,spinach,R(1-3),Contains,0.0067(1),150,0.0000(0),0.0067(1),0.8667(130),0.0133(2),0.0200(3),0.0933(14),0.0000(0)
mistral-small:24b,spinach,R(1-4),Contains,0.0067(1),150,0.0067(1),0.0067(1),0.1667(25),0.1867(28),0.4800(72),0.1533(23),0.0000(0)
mistral-small:24b,spinach,R(3-4),Disjoint,0.9933(149),150,0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.9933(149),0.0000(0),0.0000(0)
mistral-small:24b,spinach,R(1-34),Equivalence,0.0733(11),150,0.0733(11),0.0000(0),0.4400(66),0.0000(0),0.4000(60),0.0867(13),0.0000(0)
mistral-small:24b,synthetic,R(1-2),Equivalence,0.8800(132),150,0.8800(132),0.0133(2),0.0467(7),0.0333(5),0.0267(4),0.0000(0),0.0000(0)
mistral-small:24b,synthetic,R(1-3),Contains,0.0000(0),150,0.0000(0),0.0000(0),0.8867(133),0.0000(0),0.0400(6),0.0733(11),0.0000(0)
mistral-small:24b,synthetic,R(1-4),Contains,0.0067(1),150,0.0133(2),0.0067(1),0.2333(35),0.1267(19),0.4467(67),0.1733(26),0.0000(0)
mistral-small:24b,synthetic,R(3-4),Disjoint,0.9933(149),150,0.0067(1),0.0000(0),0.0000(0),0.0000(0),0.9933(149),0.0000(0),0.0000(0)
mistral-small:24b,synthetic,R(1-34),Equivalence,0.1800(27),150,0.1800(27),0.0000(0),0.3933(59),0.0000(0),0.3267(49),0.1000(15),0.0000(0)
o3,lc-quad,R(1-2),Equivalence,0.9733(146),150,0.9733(146),0.0200(3),0.0000(0),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
o3,lc-quad,R(1-3),Contains,0.9667(145),150,0.0133(2),0.9667(145),0.0133(2),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
o3,lc-quad,R(1-4),Contains,0.9867(148),150,0.0067(1),0.9867(148),0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
o3,lc-quad,R(3-4),Disjoint,0.9667(145),150,0.0000(0),0.0267(4),0.0000(0),0.0000(0),0.9667(145),0.0067(1),0.0000(0)
o3,lc-quad,R(1-34),Equivalence,0.9400(141),150,0.9400(141),0.0267(4),0.0267(4),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
o3,qawiki,R(1-2),Equivalence,0.9133(137),150,0.9133(137),0.0267(4),0.0467(7),0.0000(0),0.0000(0),0.0133(2),0.0000(0)
o3,qawiki,R(1-3),Contains,0.9733(146),150,0.0133(2),0.9733(146),0.0000(0),0.0000(0),0.0000(0),0.0133(2),0.0000(0)
o3,qawiki,R(1-4),Contains,0.9667(145),150,0.0133(2),0.9667(145),0.0000(0),0.0000(0),0.0200(3),0.0000(0),0.0000(0)
o3,qawiki,R(3-4),Disjoint,0.9533(143),150,0.0000(0),0.0067(1),0.0067(1),0.0133(2),0.9533(143),0.0200(3),0.0000(0)
o3,qawiki,R(1-34),Equivalence,0.9267(139),150,0.9267(139),0.0200(3),0.0333(5),0.0000(0),0.0067(1),0.0133(2),0.0000(0)
o3,spinach,R(1-2),Equivalence,0.9333(140),150,0.9333(140),0.0200(3),0.0467(7),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
o3,spinach,R(1-3),Contains,0.9733(146),150,0.0133(2),0.9733(146),0.0000(0),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
o3,spinach,R(1-4),Contains,0.9733(146),150,0.0200(3),0.9733(146),0.0000(0),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
o3,spinach,R(3-4),Disjoint,0.9200(138),150,0.0067(1),0.0067(1),0.0067(1),0.0267(4),0.9200(138),0.0333(5),0.0000(0)
o3,spinach,R(1-34),Equivalence,0.9067(136),150,0.9067(136),0.0400(6),0.0533(8),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
o3,synthetic,R(1-2),Equivalence,0.8933(134),150,0.8933(134),0.0600(9),0.0200(3),0.0000(0),0.0067(1),0.0200(3),0.0000(0)
o3,synthetic,R(1-3),Contains,0.9733(146),150,0.0067(1),0.9733(146),0.0067(1),0.0000(0),0.0000(0),0.0133(2),0.0000(0)
o3,synthetic,R(1-4),Contains,0.9800(147),150,0.0000(0),0.9800(147),0.0000(0),0.0067(1),0.0067(1),0.0067(1),0.0000(0)
o3,synthetic,R(3-4),Disjoint,0.9667(145),150,0.0067(1),0.0067(1),0.0000(0),0.0200(3),0.9667(145),0.0000(0),0.0000(0)
o3,synthetic,R(1-34),Equivalence,0.9733(146),150,0.9733(146),0.0000(0),0.0200(3),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
deepseek-chat,overall,R(1-2),Equivalence,0.9617(577),600,0.9617(577),0.0000(0),0.0000(0),0.0300(18),0.0033(2),0.0050(3),0.0000(0)
deepseek-chat,overall,R(1-3),Contains,0.3533(212),600,0.0067(4),0.3533(212),0.5883(353),0.0417(25),0.0100(6),0.0000(0),0.0000(0)
deepseek-chat,overall,R(1-4),Contains,0.2067(124),600,0.0017(1),0.2067(124),0.0517(31),0.5383(323),0.2017(121),0.0000(0),0.0000(0)
deepseek-chat,overall,R(3-4),Disjoint,0.9933(596),600,0.0017(1),0.0000(0),0.0017(1),0.0033(2),0.9933(596),0.0000(0),0.0000(0)
deepseek-chat,overall,R(1-34),Equivalence,0.9050(543),600,0.9050(543),0.0067(4),0.0033(2),0.0167(10),0.0683(41),0.0000(0),0.0000(0)
deepseek-reasoner,overall,R(1-2),Equivalence,0.8900(526),591,0.8900(526),0.0355(21),0.0558(33),0.0017(1),0.0102(6),0.0068(4),0.0000(0)
deepseek-reasoner,overall,R(1-3),Contains,0.9712(574),591,0.0102(6),0.9712(574),0.0085(5),0.0034(2),0.0017(1),0.0051(3),0.0000(0)
deepseek-reasoner,overall,R(1-4),Contains,0.9695(573),591,0.0085(5),0.9695(573),0.0000(0),0.0051(3),0.0085(5),0.0085(5),0.0000(0)
deepseek-reasoner,overall,R(3-4),Disjoint,0.9662(571),591,0.0034(2),0.0068(4),0.0000(0),0.0152(9),0.9662(571),0.0085(5),0.0000(0)
deepseek-reasoner,overall,R(1-34),Equivalence,0.9492(561),591,0.9492(561),0.0203(12),0.0169(10),0.0017(1),0.0085(5),0.0034(2),0.0000(0)
gemini-2.0-flash,overall,R(1-2),Equivalence,0.9100(546),600,0.9100(546),0.0100(6),0.0083(5),0.0167(10),0.0550(33),0.0000(0),0.0000(0)
gemini-2.0-flash,overall,R(1-3),Contains,0.7967(478),600,0.0133(8),0.7967(478),0.1183(71),0.0167(10),0.0533(32),0.0017(1),0.0000(0)
gemini-2.0-flash,overall,R(1-4),Contains,0.2150(129),600,0.0100(6),0.2150(129),0.0300(18),0.6217(373),0.1233(74),0.0000(0),0.0000(0)
gemini-2.0-flash,overall,R(3-4),Disjoint,0.9517(571),600,0.0033(2),0.0050(3),0.0000(0),0.0400(24),0.9517(571),0.0000(0),0.0000(0)
gemini-2.0-flash,overall,R(1-34),Equivalence,0.8050(483),600,0.8050(483),0.0017(1),0.0000(0),0.0950(57),0.0633(38),0.0350(21),0.0000(0)
gemini-2.5-flash,overall,R(1-2),Equivalence,0.8650(519),600,0.8650(519),0.0517(31),0.0683(41),0.0083(5),0.0050(3),0.0017(1),0.0000(0)
gemini-2.5-flash,overall,R(1-3),Contains,0.9600(576),600,0.0150(9),0.9600(576),0.0050(3),0.0033(2),0.0000(0),0.0150(9),0.0017(1)
gemini-2.5-flash,overall,R(1-4),Contains,0.9650(579),600,0.0083(5),0.9650(579),0.0000(0),0.0033(2),0.0067(4),0.0150(9),0.0017(1)
gemini-2.5-flash,overall,R(3-4),Disjoint,0.9717(583),600,0.0033(2),0.0100(6),0.0017(1),0.0133(8),0.9717(583),0.0000(0),0.0000(0)
gemini-2.5-flash,overall,R(1-34),Equivalence,0.9600(576),600,0.9600(576),0.0183(11),0.0117(7),0.0000(0),0.0067(4),0.0017(1),0.0017(1)
gemini-2.5-pro,overall,R(1-2),Equivalence,0.9150(549),600,0.9150(549),0.0267(16),0.0500(30),0.0033(2),0.0033(2),0.0000(0),0.0017(1)
gemini-2.5-pro,overall,R(1-3),Contains,0.9767(586),600,0.0117(7),0.9767(586),0.0050(3),0.0033(2),0.0033(2),0.0000(0),0.0000(0)
gemini-2.5-pro,overall,R(1-4),Contains,0.9450(567),600,0.0117(7),0.9450(567),0.0000(0),0.0200(12),0.0183(11),0.0000(0),0.0050(3)
gemini-2.5-pro,overall,R(3-4),Disjoint,0.9850(591),600,0.0033(2),0.0017(1),0.0000(0),0.0083(5),0.9850(591),0.0000(0),0.0017(1)
gemini-2.5-pro,overall,R(1-34),Equivalence,0.9667(580),600,0.9667(580),0.0133(8),0.0133(8),0.0000(0),0.0067(4),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,overall,R(1-2),Equivalence,0.9464(547),578,0.9464(547),0.0381(22),0.0104(6),0.0000(0),0.0035(2),0.0017(1),0.0000(0)
gpt-4.1-2025-04-14,overall,R(1-3),Contains,0.9862(570),578,0.0017(1),0.9862(570),0.0052(3),0.0069(4),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,overall,R(1-4),Contains,0.6972(403),578,0.0000(0),0.6972(403),0.0017(1),0.2578(149),0.0433(25),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,overall,R(3-4),Disjoint,0.9948(575),578,0.0017(1),0.0017(1),0.0000(0),0.0017(1),0.9948(575),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,overall,R(1-34),Equivalence,0.9948(575),578,0.9948(575),0.0000(0),0.0017(1),0.0000(0),0.0035(2),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,overall,R(1-2),Equivalence,0.9117(547),600,0.9117(547),0.0200(12),0.0550(33),0.0067(4),0.0033(2),0.0033(2),0.0000(0)
gpt-4.1-mini-2025-04-14,overall,R(1-3),Contains,0.3483(209),600,0.0017(1),0.3483(209),0.6300(378),0.0150(9),0.0017(1),0.0033(2),0.0000(0)
gpt-4.1-mini-2025-04-14,overall,R(1-4),Contains,0.2100(126),600,0.0050(3),0.2100(126),0.0950(57),0.5967(358),0.0900(54),0.0033(2),0.0000(0)
gpt-4.1-mini-2025-04-14,overall,R(3-4),Disjoint,0.9900(594),600,0.0017(1),0.0033(2),0.0000(0),0.0050(3),0.9900(594),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,overall,R(1-34),Equivalence,0.9600(576),600,0.9600(576),0.0050(3),0.0000(0),0.0100(6),0.0250(15),0.0000(0),0.0000(0)
gpt-4.1-nano-2025-04-14,overall,R(1-2),Equivalence,0.6917(415),600,0.6917(415),0.0083(5),0.0000(0),0.2900(174),0.0000(0),0.0067(4),0.0033(2)
gpt-4.1-nano-2025-04-14,overall,R(1-3),Contains,0.3917(235),600,0.0267(16),0.3917(235),0.0800(48),0.4233(254),0.0217(13),0.0450(27),0.0117(7)
gpt-4.1-nano-2025-04-14,overall,R(1-4),Contains,0.4167(250),600,0.0017(1),0.4167(250),0.1583(95),0.1800(108),0.1500(90),0.0800(48),0.0133(8)
gpt-4.1-nano-2025-04-14,overall,R(3-4),Disjoint,0.6250(375),600,0.0000(0),0.1450(87),0.1083(65),0.0483(29),0.6250(375),0.0533(32),0.0200(12)
gpt-4.1-nano-2025-04-14,overall,R(1-34),Equivalence,0.0000(0),600,0.0000(0),0.0200(12),0.1200(72),0.0000(0),0.8583(515),0.0000(0),0.0017(1)
gpt-4o,overall,R(1-2),Equivalence,0.9467(568),600,0.9467(568),0.0400(24),0.0083(5),0.0017(1),0.0017(1),0.0017(1),0.0000(0)
gpt-4o,overall,R(1-3),Contains,0.3083(185),600,0.0050(3),0.3083(185),0.6567(394),0.0183(11),0.0017(1),0.0100(6),0.0000(0)
gpt-4o,overall,R(1-4),Contains,0.1217(73),600,0.0033(2),0.1217(73),0.0333(20),0.6733(404),0.1667(100),0.0017(1),0.0000(0)
gpt-4o,overall,R(3-4),Disjoint,0.9933(596),600,0.0017(1),0.0000(0),0.0000(0),0.0050(3),0.9933(596),0.0000(0),0.0000(0)
gpt-4o,overall,R(1-34),Equivalence,0.6483(389),600,0.6483(389),0.0100(6),0.0017(1),0.0217(13),0.2217(133),0.0967(58),0.0000(0)
gpt-5,overall,R(1-2),Equivalence,0.9067(544),600,0.9067(544),0.0333(20),0.0433(26),0.0050(3),0.0033(2),0.0083(5),0.0000(0)
gpt-5,overall,R(1-3),Contains,0.9800(588),600,0.0083(5),0.9800(588),0.0033(2),0.0017(1),0.0033(2),0.0033(2),0.0000(0)
gpt-5,overall,R(1-4),Contains,0.9867(592),600,0.0017(1),0.9867(592),0.0000(0),0.0033(2),0.0067(4),0.0017(1),0.0000(0)
gpt-5,overall,R(3-4),Disjoint,0.9683(581),600,0.0017(1),0.0050(3),0.0000(0),0.0133(8),0.9683(581),0.0117(7),0.0000(0)
gpt-5,overall,R(1-34),Equivalence,0.9467(568),600,0.9467(568),0.0200(12),0.0233(14),0.0017(1),0.0067(4),0.0017(1),0.0000(0)
gpt-5-mini,overall,R(1-2),Equivalence,0.9050(543),600,0.9050(543),0.0350(21),0.0300(18),0.0033(2),0.0033(2),0.0233(14),0.0000(0)
gpt-5-mini,overall,R(1-3),Contains,0.9733(584),600,0.0100(6),0.9733(584),0.0050(3),0.0017(1),0.0000(0),0.0100(6),0.0000(0)
gpt-5-mini,overall,R(1-4),Contains,0.9800(588),600,0.0033(2),0.9800(588),0.0000(0),0.0000(0),0.0067(4),0.0100(6),0.0000(0)
gpt-5-mini,overall,R(3-4),Disjoint,0.9517(571),600,0.0033(2),0.0033(2),0.0000(0),0.0150(9),0.9517(571),0.0267(16),0.0000(0)
gpt-5-mini,overall,R(1-34),Equivalence,0.9550(573),600,0.9550(573),0.0150(9),0.0183(11),0.0000(0),0.0083(5),0.0033(2),0.0000(0)
gpt-5-nano,overall,R(1-2),Equivalence,0.9200(552),600,0.9200(552),0.0250(15),0.0217(13),0.0033(2),0.0067(4),0.0233(14),0.0000(0)
gpt-5-nano,overall,R(1-3),Contains,0.8533(512),600,0.0700(42),0.8533(512),0.0100(6),0.0033(2),0.0183(11),0.0367(22),0.0083(5)
gpt-5-nano,overall,R(1-4),Contains,0.9167(550),600,0.0283(17),0.9167(550),0.0050(3),0.0033(2),0.0133(8),0.0233(14),0.0100(6)
gpt-5-nano,overall,R(3-4),Disjoint,0.8867(532),600,0.0067(4),0.0383(23),0.0150(9),0.0100(6),0.8867(532),0.0433(26),0.0000(0)
gpt-5-nano,overall,R(1-34),Equivalence,0.9100(546),600,0.9100(546),0.0333(20),0.0283(17),0.0033(2),0.0167(10),0.0067(4),0.0017(1)
gpt-oss:20b,overall,R(1-2),Equivalence,0.9400(564),600,0.9400(564),0.0283(17),0.0217(13),0.0050(3),0.0033(2),0.0017(1),0.0000(0)
gpt-oss:20b,overall,R(1-3),Contains,0.9250(555),600,0.0400(24),0.9250(555),0.0217(13),0.0017(1),0.0083(5),0.0033(2),0.0000(0)
gpt-oss:20b,overall,R(1-4),Contains,0.9633(578),600,0.0200(12),0.9633(578),0.0050(3),0.0033(2),0.0083(5),0.0000(0),0.0000(0)
gpt-oss:20b,overall,R(3-4),Disjoint,0.9167(550),600,0.0083(5),0.0300(18),0.0233(14),0.0183(11),0.9167(550),0.0033(2),0.0000(0)
gpt-oss:20b,overall,R(1-34),Equivalence,0.9400(564),600,0.9400(564),0.0233(14),0.0267(16),0.0000(0),0.0050(3),0.0050(3),0.0000(0)
grok-3-mini,overall,R(1-2),Equivalence,0.9183(551),600,0.9183(551),0.0350(21),0.0383(23),0.0000(0),0.0033(2),0.0050(3),0.0000(0)
grok-3-mini,overall,R(1-3),Contains,0.9500(570),600,0.0200(12),0.9500(570),0.0033(2),0.0033(2),0.0000(0),0.0233(14),0.0000(0)
grok-3-mini,overall,R(1-4),Contains,0.9667(580),600,0.0050(3),0.9667(580),0.0017(1),0.0000(0),0.0133(8),0.0133(8),0.0000(0)
grok-3-mini,overall,R(3-4),Disjoint,0.9783(587),600,0.0017(1),0.0033(2),0.0033(2),0.0083(5),0.9783(587),0.0050(3),0.0000(0)
grok-3-mini,overall,R(1-34),Equivalence,0.9733(584),600,0.9733(584),0.0050(3),0.0117(7),0.0000(0),0.0100(6),0.0000(0),0.0000(0)
llama3.1:70b,overall,R(1-2),Equivalence,0.9750(585),600,0.9750(585),0.0000(0),0.0033(2),0.0167(10),0.0033(2),0.0000(0),0.0017(1)
llama3.1:70b,overall,R(1-3),Contains,0.0767(46),600,0.0050(3),0.0767(46),0.8750(525),0.0383(23),0.0033(2),0.0017(1),0.0000(0)
llama3.1:70b,overall,R(1-4),Contains,0.2717(163),600,0.0050(3),0.2717(163),0.1000(60),0.4000(240),0.2233(134),0.0000(0),0.0000(0)
llama3.1:70b,overall,R(3-4),Disjoint,0.9917(595),600,0.0033(2),0.0000(0),0.0000(0),0.0050(3),0.9917(595),0.0000(0),0.0000(0)
llama3.1:70b,overall,R(1-34),Equivalence,0.9850(591),600,0.9850(591),0.0017(1),0.0000(0),0.0083(5),0.0050(3),0.0000(0),0.0000(0)
llama3.1:8b,overall,R(1-2),Equivalence,0.0583(35),600,0.0583(35),0.1017(61),0.0067(4),0.7917(475),0.0000(0),0.0000(0),0.0417(25)
llama3.1:8b,overall,R(1-3),Contains,0.1150(69),600,0.0350(21),0.1150(69),0.1900(114),0.4400(264),0.2067(124),0.0017(1),0.0117(7)
llama3.1:8b,overall,R(1-4),Contains,0.1117(67),600,0.0083(5),0.1117(67),0.1717(103),0.4767(286),0.2267(136),0.0017(1),0.0033(2)
llama3.1:8b,overall,R(3-4),Disjoint,0.1967(118),600,0.0150(9),0.0783(47),0.3067(184),0.3867(232),0.1967(118),0.0000(0),0.0167(10)
llama3.1:8b,overall,R(1-34),Equivalence,0.0300(18),600,0.0300(18),0.1250(75),0.0700(42),0.5350(321),0.1400(84),0.0000(0),0.1000(60)
mistral-small:24b,overall,R(1-2),Equivalence,0.9183(551),600,0.9183(551),0.0050(3),0.0367(22),0.0283(17),0.0100(6),0.0017(1),0.0000(0)
mistral-small:24b,overall,R(1-3),Contains,0.0017(1),600,0.0033(2),0.0017(1),0.8800(528),0.0083(5),0.0233(14),0.0833(50),0.0000(0)
mistral-small:24b,overall,R(1-4),Contains,0.0117(7),600,0.0083(5),0.0117(7),0.2167(130),0.1650(99),0.4283(257),0.1700(102),0.0000(0)
mistral-small:24b,overall,R(3-4),Disjoint,0.9950(597),600,0.0017(1),0.0000(0),0.0017(1),0.0017(1),0.9950(597),0.0000(0),0.0000(0)
mistral-small:24b,overall,R(1-34),Equivalence,0.1183(71),600,0.1183(71),0.0000(0),0.4567(274),0.0017(1),0.3400(204),0.0833(50),0.0000(0)
o3,overall,R(1-2),Equivalence,0.9283(557),600,0.9283(557),0.0317(19),0.0283(17),0.0017(1),0.0017(1),0.0083(5),0.0000(0)
o3,overall,R(1-3),Contains,0.9717(583),600,0.0117(7),0.9717(583),0.0050(3),0.0017(1),0.0017(1),0.0083(5),0.0000(0)
o3,overall,R(1-4),Contains,0.9767(586),600,0.0100(6),0.9767(586),0.0000(0),0.0033(2),0.0067(4),0.0033(2),0.0000(0)
o3,overall,R(3-4),Disjoint,0.9517(571),600,0.0033(2),0.0117(7),0.0033(2),0.0150(9),0.9517(571),0.0150(9),0.0000(0)
o3,overall,R(1-34),Equivalence,0.9367(562),600,0.9367(562),0.0217(13),0.0333(20),0.0000(0),0.0033(2),0.0050(3),0.0000(0)
