dataset	source_id	question_id	question	gold_answer	confidence	agreeing_models	available_models	selected_from
spinach	17	Q4	Which movies in the Cornetto trilogy do not star Lucy Davis?	"[""Hot Fuzz"", ""The World's End""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	4	GPT-5
spinach	19	Q1	Which teams participated in the 2020 UEFA Champions League Final ?	"[""Paris Saint-Germain"", ""Bayern Munich""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	19	Q2	What teams took part in the 2020 UEFA Champions League Final?	"[""Paris Saint-Germain"", ""Bayern Munich""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	19	Q3	Which team won the 2020 UEFA Champions League Final?	"[""Bayern Munich""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	19	Q4	Which team lost the 2020 UEFA Champions League Final?	"[""Paris Saint-Germain""]"	3	GPT-5,GPT-o3,Gemini-2.5-pro	5	GPT-5
spinach	21	Q1	What countries does Germany share borders with?	"[""Austria"", ""Belgium"", ""Czech Republic"", ""Denmark"", ""France"", ""Luxembourg"", ""Netherlands"", ""Poland"", ""Switzerland""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	21	Q2	Which countries border Germany?	"[""Denmark"", ""Poland"", ""Czech Republic"", ""Austria"", ""Switzerland"", ""France"", ""Luxembourg"", ""Belgium"", ""Netherlands""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	21	Q3	What countries does Germany border that have German as an official language?	"[""Austria"", ""Belgium"", ""Luxembourg"", ""Switzerland""]"	4	GPT-5,GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-5
spinach	21	Q4	What countries does Germany border that do not have German as an official language?	"[""Denmark"", ""Poland"", ""Czech Republic"", ""France"", ""Netherlands""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	23	Q1	What countries does the Niger river flow through?	"[""Guinea"", ""Mali"", ""Niger"", ""Benin"", ""Nigeria""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	23	Q2	Through which countries does the Niger River flow?	"[""Guinea"", ""Mali"", ""Niger"", ""Benin"", ""Nigeria""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	23	Q3	Through what landlocked countries does the Niger River flow?	"[""Mali"", ""Niger""]"	4	GPT-5,GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-5
spinach	23	Q4	Through what coastal countries does the Niger River flow?	"[""Guinea"", ""Benin"", ""Nigeria""]"	3	GPT-5,GPT-o3,GPT-5-mini	5	GPT-5
spinach	34	Q1	What are the official languages of Canada?	"[""English"", ""French""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	34	Q2	What languages are officially recognized in Canada?	"[""English"", ""French""]"	4	GPT-5,GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-5
spinach	34	Q3	What is the official language of Canada used by the majority of the population?	"[""English""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	34	Q4	What are the official languages of Canada used by a minority of the population?	"[""French""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	35	Q1	Who were the Vice Presidents under Lincoln?	"[""Hannibal Hamlin"", ""Andrew Johnson""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	35	Q2	Who were the Vice Presidents of Lincoln?	"[""Hannibal Hamlin"", ""Andrew Johnson""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	35	Q3	Who was the Vice President under Abraham Lincoln during his first term?	"[""Hannibal Hamlin""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	35	Q4	Who was the Vice President under Abraham Lincoln during his second term?	"[""Andrew Johnson""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	36	Q1	Which countries does Egypt border?	"[""Libya"", ""Sudan"", ""Israel"", ""State of Palestine""]"	2	GPT-5,GPT-5-mini	5	GPT-5
spinach	36	Q2	Which countries share a border with Egypt?	"[""Libya"", ""Sudan"", ""Israel"", ""State of Palestine""]"	3	GPT-5,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	36	Q3	What majority Arab countries does Egypt border?	"[""Libya"", ""Sudan"", ""State of Palestine""]"	2	GPT-5,GPT-5-mini	5	GPT-5
spinach	36	Q4	What non-Arab majority countries does Egypt border?	"[""Israel""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	52	Q1	Give me all Frisian islands that belong to the Netherlands.	"[""Noorderhaaks"", ""Texel"", ""Vlieland"", ""Richel"", ""Griend"", ""Terschelling"", ""Ameland"", ""Engelsmanplaat"", ""Schiermonnikoog"", ""Simonszand"", ""Rottumerplaat"", ""Rottumeroog"", ""Zuiderduintjes""]"	2	GPT-5,GPT-o3	5	GPT-5
spinach	52	Q2	Which Frisian islands are part of the Netherlands?	"[""Noorderhaaks"", ""Texel"", ""Vlieland"", ""Richel"", ""Griend"", ""Terschelling"", ""Ameland"", ""Engelsmanplaat"", ""Schiermonnikoog"", ""Simonszand"", ""Rottumerplaat"", ""Rottumeroog"", ""Zuiderduintjes""]"	1	GPT-5	5	GPT-5
spinach	52	Q3	Give me all Frisian islands that belong to the Netherlands and are inhabited.	"[""Texel"", ""Vlieland"", ""Terschelling"", ""Ameland"", ""Schiermonnikoog""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	52	Q4	Give me all Frisian islands that belong to the Netherlands and are uninhabited.	"[""Noorderhaaks"", ""Richel"", ""Griend"", ""Engelsmanplaat"", ""Simonszand"", ""Rottumerplaat"", ""Rottumeroog"", ""Zuiderduintjes""]"	3	GPT-5,GPT-o3,GPT-5-mini	5	GPT-5
spinach	53	Q1	Which officially recognized religions are present in Indonesia?	"[""Islam"", ""Protestantism"", ""Catholicism"", ""Hinduism"", ""Buddhism"", ""Confucianism""]"	3	GPT-5,GPT-o3,DeepSeek-R	5	GPT-5
spinach	53	Q2	What religions do Indonesians are official recognized?	"[""Islam"", ""Protestantism"", ""Catholicism"", ""Hinduism"", ""Buddhism"", ""Confucianism""]"	3	GPT-5,GPT-o3,DeepSeek-R	5	GPT-5
spinach	53	Q3	Which Abrahamic religions are officially recognized in Indonesia?	"[""Islam"", ""Protestantism"", ""Catholicism""]"	3	GPT-5,GPT-o3,Gemini-2.5-pro	5	GPT-5
spinach	53	Q4	Which non-Abrahamic religions are officially recognized in Indonesia?	"[""Hinduism"", ""Buddhism"", ""Confucianism""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	55	Q1	Which countries speak German officially?	"[""Austria"", ""Belgium"", ""Germany"", ""Liechtenstein"", ""Luxembourg"", ""Switzerland""]"	3	GPT-5,GPT-o3,Gemini-2.5-pro	5	GPT-5
spinach	55	Q2	In which countries is German an official language?	"[""Germany"", ""Austria"", ""Switzerland"", ""Liechtenstein"", ""Luxembourg"", ""Belgium""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	55	Q3	Which countries have German but not French as an official language?	"[""Germany"", ""Austria"", ""Liechtenstein""]"	4	GPT-5,GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-5
spinach	55	Q4	Which countries have both German and French as official languages?	"[""Belgium"", ""Luxembourg"", ""Switzerland""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	58	Q1	What states make up New England?	"[""Connecticut"", ""Maine"", ""Massachusetts"", ""New Hampshire"", ""Rhode Island"", ""Vermont""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	58	Q2	Which states constitute New England?	"[""Connecticut"", ""Maine"", ""Massachusetts"", ""New Hampshire"", ""Rhode Island"", ""Vermont""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	58	Q3	"Which states in New England have ""New"" in their name?"	"[""New Hampshire""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	58	Q4	"Which states in New England do not have ""New"" in their name?"	"[""Maine"", ""Vermont"", ""Massachusetts"", ""Rhode Island"", ""Connecticut""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	60	Q1	Which continents did the Roman Empire span?	"[""Europe"", ""Asia"", ""Africa""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	60	Q2	What continents did the Roman Empire spread over?	"[""Africa"", ""Asia"", ""Europe""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	60	Q3	On which continent did the Roman Empire start?	"[""Europe""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	60	Q4	To which continents did the Roman Empire expand beyond the first continent?	"[""Africa"", ""Asia""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	64	Q1	What countries share a land or maritime border with Spain?	"[""Portugal"", ""France"", ""Andorra"", ""United Kingdom"", ""Morocco"", ""Algeria"", ""Italy""]"	2	GPT-o3,Gemini-2.5-pro	5	GPT-o3
spinach	64	Q2	Which countries share a land or maritime border with Spain?	"[""Algeria"", ""Andorra"", ""France"", ""Italy"", ""Morocco"", ""Portugal"", ""United Kingdom""]"	3	GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-o3
spinach	64	Q3	What countries share a land or martiime border with Spain, but not both?	"[""Andorra"", ""Algeria"", ""Italy""]"	3	GPT-5,GPT-o3,Gemini-2.5-pro	5	GPT-5
spinach	64	Q4	What countries share both a land and maritime border with Spain?	"[""Portugal"", ""France"", ""Morocco"", ""United Kingdom""]"	4	GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-o3
spinach	70	Q1	What states does the Sierra Nevada run through in the United States?	"[""California"", ""Nevada""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	70	Q2	Which states does the Sierra Nevada run through in the United States?	"[""California"", ""Nevada""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	70	Q3	Which states with a Democratic governor does the Sierra Nevada run through in the United States?	"[""California""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	70	Q4	Which states without a Democratic governor does the Sierra Nevada run through in the United States?	"[""Nevada""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	73	Q1	What countries are members of NAFTA?	"[""Canada"", ""Mexico"", ""United States of America""]"	3	GPT-5,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	73	Q2	Which countries are in NAFTA?	"[""Canada"", ""United States of America"", ""Mexico""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	73	Q3	What countries are members of NAFTA and in Latin America?	"[""Mexico""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	73	Q4	What countries are members of NAFTA but not in Latin America?	"[""Canada"", ""United States of America""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	75	Q1	What states share a border with Tennessee?	"[""Kentucky"", ""Virginia"", ""North Carolina"", ""Georgia"", ""Alabama"", ""Mississippi"", ""Arkansas"", ""Missouri""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	75	Q2	Which states does Tennessee border?	"[""Kentucky"", ""Virginia"", ""North Carolina"", ""Georgia"", ""Alabama"", ""Mississippi"", ""Arkansas"", ""Missouri""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	75	Q3	What states share a border with Tennessee but not with Illinois?	"[""Alabama"", ""Arkansas"", ""Georgia"", ""Mississippi"", ""North Carolina"", ""Virginia""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	75	Q4	What states share a border with Tennessee and Illinois?	"[""Kentucky"", ""Missouri""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	79	Q1	Who were Demeter's siblings?	"[""Hestia"", ""Hera"", ""Hades"", ""Poseidon"", ""Zeus""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	79	Q2	Who were the brothers and sisters of Demeter?	"[""Hestia"", ""Hera"", ""Hades"", ""Poseidon"", ""Zeus""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	79	Q3	Who were the brothers of Demeter?	"[""Zeus"", ""Poseidon"", ""Hades""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	79	Q4	Who were the sisters of Demeter?	"[""Hera"", ""Hestia""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	84	Q1	Through which countries of the Sahel does the Niger River flow?	"[""Mali"", ""Niger"", ""Nigeria""]"	2	GPT-5,GPT-5-mini	5	GPT-5
spinach	84	Q2	Which Sahel countries does the Niger River pass through?	"[""Mali"", ""Niger"", ""Nigeria""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	84	Q3	Though which country of the Sahel does the Niger River flow and have its mouth?	"[""Nigeria""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	84	Q4	Though which country of the Sahel does the Niger River flow but does not have its mouth?	"[""Mali"", ""Niger""]"	3	GPT-5,GPT-5-mini,DeepSeek-R	5	GPT-5
spinach	89	Q1	What are the names of Michael Jackson's kids?	"[""Michael Joseph Jackson Junior"", ""Paris-Michael Katherine Jackson"", ""Prince Michael Jackson 2""]"	3	GPT-5,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	89	Q2	Who are the children of Michael Jackson?	"[""Michael Joseph Jackson Junior"", ""Paris-Michael Katherine Jackson"", ""Prince Michael Jackson 2""]"	3	GPT-5,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	89	Q3	Which children did Michael Jackson have with Debbie Rowe?	"[""Michael Joseph Jackson Junior"", ""Paris-Michael Katherine Jackson""]"	3	GPT-5,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	89	Q4	Which children did Michael Jackson have with someone other than Debbie Rowe?	"[""Prince Michael Jackson 2""]"	2	GPT-5,Gemini-2.5-pro	5	GPT-5
spinach	90	Q1	What degrees does Romney have?	"[""Bachelor of Arts in English"", ""Juris Doctor"", ""Master of Business Administration""]"	2	GPT-5,GPT-o3	5	GPT-5
spinach	90	Q2	Which degrees has Romney earned?	"[""Bachelor of Arts in English"", ""Juris Doctor"", ""Master of Business Administration""]"	3	GPT-5,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	90	Q3	What undergraduate degrees does Romney have?	"[""Bachelor of Arts in English""]"	2	GPT-o3,GPT-5-mini	4	GPT-o3
spinach	90	Q4	What graduate degrees does Romney have?	"[""Juris Doctor"", ""Master of Business Administration""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	91	Q1	Give me all cities in New Jersey with more than 100,000 inhabitants at present.	"[""Newark"", ""Jersey City"", ""Paterson"", ""Elizabeth""]"	3	GPT-5,GPT-5-mini,DeepSeek-R	4	GPT-5
spinach	91	Q2	Which cities in New Jersey currently have a population of over 100,000?	"[""Newark"", ""Jersey City"", ""Paterson"", ""Elizabeth""]"	3	GPT-5,GPT-5-mini,DeepSeek-R	4	GPT-5
spinach	91	Q3	Give me all cities in New Jersey with more than 100,000 inhabitants currently and an international airport.	"[""Newark"", ""Elizabeth""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	4	GPT-5
spinach	91	Q4	Give me all cities in New Jersey with more than 100000 inhabitants currently without an international airport.	"[""Jersey City"", ""Paterson""]"	3	GPT-5,GPT-5-mini,DeepSeek-R	4	GPT-5
spinach	96	Q1	Give me the Apollo 14 astronauts.	"[""Alan Shepard"", ""Stuart Roosa"", ""Edgar Mitchell""]"	3	GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-o3
spinach	96	Q2	Who were the astronauts on Apollo 14?	"[""Alan Shepard"", ""Stuart Roosa"", ""Edgar Mitchell""]"	2	GPT-o3,DeepSeek-R	5	GPT-o3
spinach	96	Q3	Give me the Apollo 14 astronauts who walked on the Moon.	"[""Alan Shepard"", ""Edgar Mitchell""]"	3	GPT-5,GPT-o3,DeepSeek-R	5	GPT-5
spinach	96	Q4	Give me the Apollo 14 astronauts who did not walk on the Moon.	"[""Stuart Roosa""]"	3	GPT-5,GPT-o3,Gemini-2.5-pro	5	GPT-5
spinach	99	Q1	Which states border Illinois?	"[""Wisconsin"", ""Iowa"", ""Missouri"", ""Kentucky"", ""Indiana""]"	3	GPT-5,GPT-o3,DeepSeek-R	5	GPT-5
spinach	99	Q2	What states share a border with Illinois?	"[""Wisconsin"", ""Iowa"", ""Missouri"", ""Kentucky"", ""Indiana""]"	4	GPT-5,GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-5
spinach	99	Q3	Which states in the Great Lakes region border Illinois?	"[""Indiana"", ""Wisconsin""]"	4	GPT-5,GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-5
spinach	99	Q4	Which states not in the Great Lakes region border Illinois?	"[""Iowa"", ""Missouri"", ""Kentucky""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	101	Q1	Which US presidents were born in 1945?	[]	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	101	Q2	Who are the US presidents born in the year 1945?	[]	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	101	Q3	Which US presidents were born in 1945 and were elected before the year 2000?	[]	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	101	Q4	Which US presidents were born in 1945 and were elected president or after the year 2000?	[]	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	113	Q1	Which U.S. states are entirely or partially in the Mountain Time Zone?	"[""Arizona"", ""Colorado"", ""Montana"", ""New Mexico"", ""Utah"", ""Wyoming"", ""Idaho"", ""Oregon"", ""North Dakota"", ""South Dakota"", ""Nebraska"", ""Kansas"", ""Texas"", ""Nevada""]"	3	GPT-5,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	113	Q2	Which U.S. states are in the Mountain Time Zone either in whole or in part?	"[""Arizona"", ""Colorado"", ""Idaho"", ""Kansas"", ""Montana"", ""Nebraska"", ""Nevada"", ""New Mexico"", ""North Dakota"", ""Oregon"", ""South Dakota"", ""Texas"", ""Utah"", ""Wyoming""]"	3	GPT-5,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	113	Q3	Which U.S. states are entirely in the Mountain Time Zone?	"[""Arizona"", ""Colorado"", ""Montana"", ""New Mexico"", ""Utah"", ""Wyoming""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	113	Q4	Which U.S. states are only partially in the Mountain Time Zone?	"[""Idaho"", ""Oregon"", ""North Dakota"", ""South Dakota"", ""Nebraska"", ""Kansas"", ""Texas"", ""Nevada""]"	2	GPT-5,Gemini-2.5-pro	5	GPT-5
spinach	121	Q1	In which countries can you pay using the West African CFA franc?	"[""Benin"", ""Burkina Faso"", ""Côte d'Ivoire"", ""Guinea-Bissau"", ""Mali"", ""Niger"", ""Senegal"", ""Togo""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	121	Q2	What countries accept the West African CFA franc?	"[""Benin"", ""Burkina Faso"", ""Côte d'Ivoire"", ""Guinea-Bissau"", ""Mali"", ""Niger"", ""Senegal"", ""Togo""]"	3	GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-o3
spinach	121	Q3	In which countries that were previously Portuguese colonies can you pay using the West African CFA franc?	"[""Guinea-Bissau""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	121	Q4	In which countries that were not Portuguese colonies can you pay using the West African CFA franc?	"[""Benin"", ""Burkina Faso"", ""Côte d'Ivoire"", ""Mali"", ""Niger"", ""Senegal"", ""Togo""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	131	Q1	List all the musicals with music composed by Elton John.	"[""The Lion King"", ""Aida"", ""Billy Elliot the Musical"", ""Lestat"", ""The Devil Wears Prada"", ""Tammy Faye""]"	3	GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-o3
spinach	131	Q2	Which musicals feature music composed by Elton John?	"[""The Lion King"", ""Aida"", ""Billy Elliot the Musical"", ""Lestat"", ""The Devil Wears Prada"", ""Tammy Faye""]"	2	GPT-o3,Gemini-2.5-pro	5	GPT-o3
spinach	131	Q3	List all the musicals with music solely composed by Elton John.	"[""Aida"", ""Billy Elliot the Musical"", ""Lestat"", ""The Devil Wears Prada"", ""Tammy Faye""]"	2	GPT-5,GPT-o3	5	GPT-5
spinach	131	Q4	List all the musicals with music composed by Elton John along with other composers.	"[""The Lion King""]"	3	GPT-5,GPT-o3,Gemini-2.5-pro	4	GPT-5
spinach	134	Q1	List the children of Margaret Thatcher.	"[""Carol Thatcher"", ""Mark Thatcher""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	134	Q2	Who are the children of Margaret Thatcher?	"[""Carol Thatcher"", ""Mark Thatcher""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	134	Q3	List the sons of Margaret Thatcher.	"[""Mark Thatcher""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	134	Q4	List the non-male children of Margaret Thatcher.	"[""Carol Thatcher""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	139	Q1	In which films did both Julia Roberts and Richard Gere play?	"[""Pretty Woman"", ""Runaway Bride""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	139	Q2	What movies have Julia Roberts and Richard Gere starred in together?	"[""Pretty Woman"", ""Runaway Bride""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	139	Q3	In which films did both Julia Roberts and Richard Gere play before 1995?	"[""Pretty Woman""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	139	Q4	In which films did both Julia Roberts and Richard Gere play since 1995?	"[""Runaway Bride""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
synthetic	3	Q1	Which languages hold official status in Switzerland?	"[""German"", ""French"", ""Italian"", ""Romansh""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
synthetic	3	Q2	What are the official languages of Switzerland?	"[""German"", ""French"", ""Italian"", ""Romansh""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
synthetic	3	Q3	Which Romance languages hold official status in Switzerland?	"[""French"", ""Italian"", ""Romansh""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
synthetic	3	Q4	Which languages hold official status in Switzerland excluding those that are Romance languages?	"[""German""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
synthetic	5	Q1	List the elements belonging to the noble gas group.	"[""Helium"", ""Neon"", ""Argon"", ""Krypton"", ""Xenon"", ""Radon"", ""Oganesson""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
synthetic	5	Q2	What are the noble gases?	"[""Helium"", ""Neon"", ""Argon"", ""Krypton"", ""Xenon"", ""Radon"", ""Oganesson""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
synthetic	5	Q3	List the noble gases that are naturally occurring.	"[""Helium"", ""Neon"", ""Argon"", ""Krypton"", ""Xenon"", ""Radon""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
synthetic	5	Q4	List the synthetic noble gases.	"[""Oganesson""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
synthetic	8	Q1	List the films directed by Stanley Kubrick.	"[""Day of the Fight"", ""Flying Padre"", ""The Seafarers"", ""Fear and Desire"", ""Killer's Kiss"", ""The Killing"", ""Paths of Glory"", ""Spartacus"", ""Lolita"", ""Doctor Strangelove or: How I Learned to Stop Worrying and Love the Bomb"", ""2001: A Space Odyssey"", ""A Clockwork Orange"", ""Barry Lyndon"", ""The Shining"", ""Full Metal Jacket"", ""Eyes Wide Shut""]"	1	GPT-5	5	GPT-5
synthetic	8	Q2	What movies did Stanley Kubrick direct?	"[""Day of the Fight"", ""Flying Padre"", ""The Seafarers"", ""Fear and Desire"", ""Killer's Kiss"", ""The Killing"", ""Paths of Glory"", ""Spartacus"", ""Lolita"", ""Doctor Strangelove or: How I Learned to Stop Worrying and Love the Bomb"", ""2001: A Space Odyssey"", ""A Clockwork Orange"", ""Barry Lyndon"", ""The Shining"", ""Full Metal Jacket"", ""Eyes Wide Shut""]"	3	GPT-5,GPT-o3,GPT-5-mini	5	GPT-5
synthetic	8	Q3	List the science fiction films directed by Stanley Kubrick.	"[""2001: A Space Odyssey"", ""A Clockwork Orange""]"	2	GPT-5,GPT-5-mini	5	GPT-5
